"RANK","TOL","INFO"
  2,7.17899911294070095E-15, 2
  4,7.36354892905231902E-15, 4
  6,7.37419122814279009E-15, 6
  8,7.39611089323613781E-15, 8
 10,7.39619674594832397E-15,10
 12,7.39737913852947854E-15,12
 14,7.39744511652256350E-15,14
 16,7.39745338585541761E-15,16
 18,7.39746086457376499E-15,18
 20,7.39746089275134641E-15,20
 22,7.39746231960047477E-15,22
 24,7.39746242129453146E-15,24
 26,7.39746242174495368E-15,26
 28,7.39746243358782110E-15,28
 30,7.39746244151174746E-15,30
 32,7.39746244165517342E-15,32
 34,7.39746244175800144E-15,34
 36,7.39746244175998148E-15,36
 38,7.39746244177164242E-15,38
 40,7.39746244177249123E-15,40
 42,7.39746244177318543E-15,42
 44,7.39746244177343629E-15,44
 46,7.39746244177345207E-15,46
 48,7.39746244177346153E-15,48
 50,7.39746244177346153E-15,50
 52,7.39746244177346153E-15,52
 54,7.39746244177346153E-15,54
 56,7.39746244177346153E-15,56
 58,7.39746244177346153E-15,58
 60,7.39746244177346153E-15,60
 62,7.39746244177346153E-15,62
 64,7.39746244177346153E-15,64
 66,7.39746244177346153E-15,66
 68,7.39746244177346153E-15,68
 70,7.39746244177346153E-15,70
 72,7.39746244177346153E-15,72
 74,7.39746244177346153E-15,74
 76,7.39746244177346153E-15,76
 78,7.39746244177346153E-15,78
 80,7.39746244177346153E-15,80
 82,7.39746244177346153E-15,82
 84,7.39746244177346153E-15,84
 86,7.39746244177346153E-15,86
 88,7.39746244177346153E-15,88
 90,7.39746244177346153E-15,90
 92,7.39746244177346153E-15,92
 94,7.39746244177346153E-15,94
 96,7.39746244177346153E-15,96
 98,7.39746244177346153E-15,96
100,7.39746244177346153E-15,98
102,7.39746244177346153E-15,98
104,7.39746244177346153E-15,98
106,7.39746244177346153E-15,98
108,7.39746244177346153E-15,98
